Starting job 16333685 on c5-60 on Saga at Fri Dec 12 16:29:13 CET 2025


RevBayes version (1.1.1)
Build from  () on Fri May  5 01:48:14 PM CEST 2023

Visit the website www.RevBayes.com for more information about RevBayes.

RevBayes is free software released under the GPL license, version 3. Type 'license()' for details.

To quit RevBayes type 'quit()' or 'q()'.


> source("scripts/mcmc_CEFBDRP_Ranges_rhinos.Rev")
   Processing file "scripts/mcmc_CEFBDRP_Ranges_rhinos.Rev"
   Successfully read one character matrix from file 'data/rrna.nex'
   Successfully read one character matrix from file 'data/coding_1.nex'
   Successfully read one character matrix from file 'data/coding_2.nex'
   Successfully read one character matrix from file 'data/coding_3.nex'
   Successfully read one character matrix from file 'data/character_matrix_RB_rhinos.nex'
   Processing file "scripts/model_FBDRP_rhinos.Rev"
   Processing of file "scripts/model_FBDRP_rhinos.Rev" completed
   Processing file "scripts/model_UExp_rhinos.Rev"
   Processing of file "scripts/model_UExp_rhinos.Rev" completed
   Processing file "scripts/model_GTRG_rhinos.Rev"
   Processing of file "scripts/model_GTRG_rhinos.Rev" completed
   Processing file "scripts/model_Morph_rhinos.Rev"
   NOTE: setNumStatesPartition() partitions by the maximum observed state, not the total number of observed states.
   NOTE: setNumStatesPartition() partitions by the maximum observed state, not the total number of observed states.
   NOTE: setNumStatesPartition() partitions by the maximum observed state, not the total number of observed states.
   Processing of file "scripts/model_Morph_rhinos.Rev" completed

   Running MCMC simulation
   This simulation runs 1 independent replicate.
   The simulator uses 47 different moves in a random move schedule with 143 moves per iteration

Iter        |      Posterior   |     Likelihood   |          Prior   |    elapsed   |        ETA   |
----------------------------------------------------------------------------------------------------
0           |       -88955.7   |       -88061.2   |       -894.461   |   00:00:00   |   --:--:--   |
20          |       -57532.3   |       -56780.4   |        -751.88   |   00:00:12   |   --:--:--   |
40          |       -55406.4   |       -54675.1   |       -731.326   |   00:00:25   |   52:04:35   |
60          |       -54983.7   |       -54260.7   |       -723.048   |   00:00:38   |   52:46:02   |
80          |       -54846.5   |       -54117.1   |       -729.351   |   00:00:51   |   53:06:39   |
100         |       -54713.7   |       -53986.4   |       -727.303   |   00:01:04   |   53:18:56   |
120         |       -54612.3   |       -53893.6   |        -718.74   |   00:01:16   |   52:45:24   |
140         |       -52818.7   |       -52095.8   |       -722.822   |   00:01:29   |   52:57:05   |
160         |       -52371.9   |       -51660.3   |       -711.667   |   00:01:42   |   53:05:48   |
180         |       -52267.5   |       -51554.6   |       -712.833   |   00:01:55   |   53:12:31   |
200         |       -52256.1   |       -51541.8   |        -714.25   |   00:02:08   |   53:17:52   |
220         |       -52235.9   |       -51527.7   |       -708.295   |   00:02:21   |   53:22:11   |
240         |       -52203.1   |       -51490.2   |       -712.982   |   00:02:33   |   53:04:57   |
260         |       -52138.6   |         -51434   |       -704.634   |   00:02:45   |   52:50:19   |
280         |       -52120.3   |       -51425.2   |       -695.066   |   00:02:58   |   52:55:36   |
300         |       -52094.8   |         -51402   |       -692.752   |   00:03:10   |   52:43:30   |
320         |       -52061.7   |       -51376.3   |       -685.442   |   00:03:23   |   52:48:29   |
340         |       -52017.3   |       -51332.4   |       -684.885   |   00:03:37   |   53:07:33   |
360         |         -51998   |       -51321.4   |       -676.616   |   00:03:50   |   53:10:36   |
380         |       -51971.7   |       -51298.1   |         -673.6   |   00:04:03   |   53:13:19   |


Iter        |      Posterior   |     Likelihood   |          Prior   |    elapsed   |        ETA   |
----------------------------------------------------------------------------------------------------
