Iteration	Posterior	Likelihood	Prior	alpha[1]	alpha[2]	alpha[3]	alpha[4]	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	part_rate[1]	part_rate[2]	part_rate[3]	part_rate[4]	part_rate_mult[1]	part_rate_mult[2]	part_rate_mult[3]	part_rate_mult[4]	pinvar[1]	pinvar[2]	pinvar[3]	pinvar[4]	TL
0	-94389.45	-94357.87	-31.57821	9.45211e+07	9.59249e+07	9.91178e+07	2.58119e+07	0.144741	0.164513	0.116847	0.0377706	0.159335	0.0159407	0.052683	0.0232714	0.0882068	0.0010454	0.0888009	0.0662002	0.0272707	1.2777	0.842581	0.812849	1.17957	0.211216	0.234432	0.226159	0.328193	0.151755	0.651209	0.108725	0.773861	0.9866253
50	-44365.38	-44319.72	-45.66231	6.41791e+07	2.61625e+07	7.81509e+06	1.65371e+06	0.0349913	0.0495949	0.0667603	0.183042	0.0435241	0.0342835	0.0417578	0.0499965	0.0540062	0.00694276	0.0278968	0.0263625	0.0414611	0.684498	0.422977	0.202574	2.5619	0.113154	0.117685	0.0563622	0.712799	0.708951	0.727511	0.85751	0.0785983	0.6606194
100	-42200.07	-42150.21	-49.86286	7.23996e+07	2.68794e+07	3.65655e+06	5.26829e+07	0.0446332	0.0494653	0.0744657	0.22842	0.0491604	0.038091	0.0411275	0.0472764	0.0689654	0.00560054	0.0501596	0.0225022	0.049916	0.549731	0.470416	0.155722	2.64139	0.0908756	0.130884	0.0433266	0.734914	0.726637	0.748753	0.841209	0.0867773	0.7697833
150	-42192.14	-42140.51	-51.63327	8.82241e+07	6.03198e+07	2.81093e+07	432111	0.0454001	0.0460139	0.0662858	0.229356	0.047663	0.0374603	0.0396953	0.0481261	0.0653411	0.00922578	0.053584	0.0331688	0.0553152	0.576971	0.435795	0.130403	2.68514	0.0953787	0.121251	0.036282	0.747088	0.70864	0.736058	0.878965	0.0791447	0.7766357
200	-42200.42	-42148.97	-51.44188	4.06879e+07	5.5138e+07	2.17219e+07	2.85994e+06	0.0398362	0.0477163	0.0713471	0.228033	0.0458055	0.0369459	0.0368546	0.0459596	0.074199	0.00682009	0.0455314	0.034897	0.0529882	0.581896	0.465665	0.12347	2.65928	0.0961928	0.129562	0.034353	0.739892	0.709931	0.748423	0.868015	0.063993	0.7669342
250	-42193.93	-42142.01	-51.91747	7.18616e+07	394865	8.4521e+06	3.49095e+07	0.0454847	0.0430565	0.0649428	0.246796	0.0461274	0.0355103	0.0406884	0.0564646	0.0682197	0.0126572	0.0529822	0.0316149	0.0434819	0.571395	0.443846	0.126923	2.68388	0.094457	0.123491	0.0353138	0.746738	0.699115	0.740475	0.866959	0.0753995	0.7880269
300	-42204.99	-42153.84	-51.14715	5.92948e+07	9.78143e+06	5.41956e+07	3.62971e+07	0.0449497	0.0459598	0.0641411	0.235975	0.0495683	0.0437033	0.0387648	0.051962	0.0652056	0.0030726	0.0487378	0.0294815	0.039419	0.538601	0.475167	0.133891	2.66508	0.0890358	0.132206	0.0372524	0.741506	0.722454	0.722991	0.855734	0.0830719	0.7609402
350	-42200.44	-42149.9	-50.53309	5.38895e+07	3.36988e+07	6.76566e+07	2.95329e+07	0.0392825	0.0467461	0.0688305	0.26066	0.0483866	0.0373013	0.0482221	0.049008	0.0703255	0.00562906	0.0561522	0.0278362	0.0406443	0.559925	0.465359	0.147808	2.6483	0.0925607	0.129477	0.0411246	0.736838	0.70951	0.74704	0.880926	0.0715618	0.7990244
400	-42195.26	-42143	-52.25283	3.3106e+06	2.93145e+07	4.21374e+07	4.03357e+07	0.0400185	0.0494827	0.0726329	0.251386	0.0513108	0.0358471	0.0393852	0.0515311	0.0761603	0.00618644	0.0541988	0.0312339	0.0482281	0.521375	0.456864	0.132507	2.695	0.0861882	0.127113	0.0368675	0.749831	0.710476	0.728437	0.870512	0.0938783	0.8076017
450	-42197.34	-42145.92	-51.41714	1.1405e+07	4.27325e+07	5.93846e+07	7.91019e+07	0.044263	0.0462579	0.0693153	0.251319	0.0459972	0.0387606	0.0402859	0.0488543	0.0744639	0.00303789	0.0459693	0.0319264	0.0461635	0.55608	0.452597	0.135407	2.67575	0.0919251	0.125926	0.0376743	0.744474	0.694098	0.74705	0.883589	0.0685659	0.7866139
500	-42198.38	-42146.95	-51.42937	7.93239e+07	6.74918e+07	9.21119e+07	3.54126e+06	0.0396865	0.0428552	0.0654595	0.243924	0.0483562	0.0374476	0.0482506	0.0517824	0.0769123	0.00821666	0.0452907	0.028501	0.0537714	0.537104	0.476669	0.134073	2.66429	0.0887883	0.132624	0.0373032	0.741285	0.723512	0.708734	0.874123	0.0869552	0.7904539
550	-42200.46	-42149.81	-50.6509	5.35274e+07	8.67902e+07	6.20085e+07	5.81893e+07	0.0429806	0.0435263	0.0679312	0.220482	0.0510904	0.0341317	0.0383486	0.0537152	0.069865	0.00386633	0.0419345	0.0261681	0.0535727	0.594646	0.46647	0.129604	2.64476	0.0983005	0.129786	0.0360599	0.735854	0.716472	0.742738	0.863642	0.0834646	0.7476125
600	-42190.89	-42140	-50.8876	6.34263e+07	4.19669e+06	7.0718e+07	1.52685e+07	0.0451935	0.0439247	0.0698912	0.231066	0.0434726	0.0387908	0.0398	0.047716	0.0753277	0.00951399	0.0422567	0.0339431	0.0424954	0.583756	0.447951	0.135293	2.66407	0.0965003	0.124633	0.0376426	0.741224	0.692076	0.741108	0.853034	0.0708833	0.7633922
650	-42202.31	-42150.65	-51.65846	4.53472e+07	6.21481e+07	1.49291e+07	1.13262e+07	0.0435359	0.0437194	0.0602012	0.251076	0.0490472	0.0374845	0.0445389	0.0488574	0.0751293	0.00405811	0.0517373	0.0349328	0.0467431	0.576612	0.432451	0.133207	2.6859	0.0953193	0.120321	0.0370621	0.747298	0.717003	0.744307	0.860922	0.083499	0.7910614
700	-42198.66	-42146.81	-51.84261	4.39193e+07	2.90996e+07	2.48804e+07	7.91076e+07	0.0446384	0.0497519	0.0773683	0.231057	0.0505125	0.03172	0.0362133	0.0475594	0.0689911	0.0101399	0.0518213	0.0288381	0.0468164	0.524523	0.49846	0.123492	2.66055	0.0867086	0.138687	0.0343592	0.740246	0.685239	0.727603	0.877008	0.0806928	0.7754272
750	-42204.84	-42153.16	-51.67881	5.72341e+06	5.95729e+07	5.04718e+07	8.90363e+07	0.0410432	0.0438153	0.0717304	0.258299	0.0519527	0.0348375	0.0400189	0.0502961	0.0696067	0.0116034	0.0412606	0.031814	0.0453	0.551056	0.435814	0.1377	2.69322	0.0910947	0.121257	0.0383123	0.749337	0.70685	0.734967	0.870599	0.0850388	0.7915774
