Iteration	Posterior	Likelihood	Prior	alpha[1]	alpha[2]	alpha[3]	alpha[4]	alpha_morpho	clock_morpho	clock_rates	diversification	extinction_rate	num_samp_anc	origin_time	pinvar[1]	pinvar[2]	pinvar[3]	pinvar[4]	psi	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	speciation_rate	turnover
0	-78392.82	-77614.46	-778.3583	0.0403033	1.00415	0.344483	2.24089	1.640732	0.4856896	0.1553436	-0.05944845	0.1188756	0	63.11635	0.846166	0.938915	0.5305	0.53434	0.1247867	0.246267	0.61042	1.05772	2.08559	0.05942715	2.000358
10	-58946.19	-58260.85	-685.334	0.0410435	0.986257	0.343728	2.24521	1.167961	0.03468114	0.04780991	-0.01935177	0.1169051	2	62.91746	0.476963	0.925497	0.889376	0.138756	0.02968853	0.169199	0.522006	1.02308	2.28572	0.09755328	1.198371
20	-54519.17	-53836.82	-682.3549	0.0416814	0.974446	0.347643	2.24611	1.229366	0.02641848	0.0158598	0.002126415	0.1518257	2	64.83215	0.0619054	0.637009	0.886184	0.0891978	0.03102136	0.180334	0.536292	1.0296	2.25377	0.1539522	0.9861878
30	-53185.15	-52499.2	-685.9475	0.0412883	0.972895	0.352496	2.2533	1.185641	0.02499628	0.01115679	-0.004907732	0.171085	1	64.79099	0.0761624	0.685964	0.886184	0.0426707	0.02266039	0.172441	0.526229	1.02504	2.27629	0.1661773	1.029533
40	-52648.96	-51966.15	-682.8042	0.0410627	0.973752	0.353967	2.24995	1.433429	0.02326075	0.009788165	-0.01150243	0.2055349	0	64.5153	0.018801	0.73355	0.889989	0.0436571	0.02642689	0.214853	0.577087	1.04626	2.1618	0.1940325	1.059281
50	-52493.4	-51812.76	-680.6421	0.0407198	0.974399	0.359136	2.25687	1.526621	0.02469419	0.009339025	0.01252295	0.2024335	0	63.37596	0.016121	0.732129	0.86076	0.0246191	0.02559909	0.229406	0.592928	1.05195	2.12572	0.2149564	0.9417419
60	-52406.98	-51721.56	-685.4255	0.0405678	0.979026	0.358445	2.26532	1.540854	0.02161195	0.009504114	0.0004390982	0.1906946	0	64.52748	0.00747672	0.694719	0.873765	0.0246191	0.01942434	0.231565	0.595218	1.05273	2.12048	0.1911337	0.9977027
70	-52367.15	-51678.31	-688.8379	0.04035	0.966479	0.360339	2.27698	1.556546	0.01959366	0.009483217	-0.002171521	0.1615645	0	64.58322	0.00834669	0.694719	0.858161	0.0453833	0.03166428	0.233927	0.597706	1.05358	2.11479	0.159393	1.013624
80	-52303.11	-51615.29	-687.8215	0.0402707	0.9667	0.355402	2.24069	1.713788	0.02031527	0.009360612	-0.01067598	0.1771353	0	64.71212	0.00532932	0.698396	0.858161	0.0231967	0.02485059	0.256541	0.620663	1.06085	2.06195	0.1664593	1.064136
90	-52107.97	-51417.67	-690.2963	0.0399811	0.960791	0.354454	2.19013	1.636152	0.01965593	0.01078841	0.01781884	0.1917486	0	64.54781	0.00532932	0.698396	0.858161	0.0293002	0.02960665	0.24561	0.609755	1.05751	2.08713	0.2095675	0.9149733
100	-52092.54	-51404.27	-688.2611	0.0403435	0.967629	0.356485	2.19746	1.994424	0.01689607	0.01094408	0.001030806	0.2192349	0	62.35926	0.00851852	0.703175	0.858161	0.0241739	0.02315185	0.292608	0.654419	1.06985	1.98312	0.2202658	0.9953202
110	-52062.2	-51374.1	-688.1022	0.0417911	0.985386	0.355037	2.20593	1.761959	0.01608397	0.01120459	0.009449671	0.2666864	0	64.65946	0.00465245	0.703175	0.85056	0.0299254	0.02247963	0.263104	0.627052	1.06271	2.04714	0.276136	0.9657789
120	-52063.29	-51381.02	-682.2654	0.0411023	0.971311	0.352279	2.14688	1.989166	0.01512523	0.01161438	-0.004724395	0.3102938	0	64.78059	0.0116297	0.669273	0.853724	0.037171	0.01496103	0.291978	0.653857	1.06972	1.98445	0.3055694	1.015461
130	-52053.18	-51372.43	-680.7502	0.0411028	0.988523	0.353001	2.18425	2.424227	0.01850784	0.01212107	0.01074665	0.3133277	0	58.25758	0.0116297	0.721917	0.860395	0.0313106	0.01429203	0.339153	0.693675	1.07771	1.88946	0.3240744	0.9668389
