Iteration	Posterior	Likelihood	Prior	alpha_morpho	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	TL
0	-9958.964	-9880.107	-78.85633	1.001439	0.137241	0.477184	1.00024	2.38534	13.34775
10	-7809.919	-7693.396	-116.5233	1.001133	0.13718	0.477092	1.00019	2.38554	17.11448
20	-7643.709	-7546.813	-96.89595	1.140661	0.164135	0.5153	1.01989	2.30067	15.13779
30	-7595.204	-7498.328	-96.87604	1.218848	0.178452	0.53392	1.02854	2.25909	15.12798
40	-7556.938	-7454.618	-102.3205	1.428074	0.213995	0.576129	1.0459	2.16397	15.65151
50	-7547.363	-7456.556	-90.80679	1.458796	0.218887	0.581551	1.04791	2.15165	14.49706
60	-7545.707	-7457.196	-88.51116	1.669496	0.250359	0.614536	1.059	2.07611	14.24642
70	-7540.697	-7446.43	-94.26702	1.755214	0.262195	0.626174	1.06246	2.04917	14.81344
80	-7513.866	-7428.851	-85.01528	1.69648	0.254142	0.618298	1.06014	2.06742	13.89414
90	-7555.221	-7447.897	-107.3237	1.838391	0.273189	0.636649	1.06536	2.0248	16.11079
100	-7533.574	-7431.996	-101.5774	1.750284	0.261528	0.625529	1.06227	2.05067	15.54497
110	-7536.308	-7440.159	-96.1486	2.037442	0.297704	0.658937	1.0709	1.97246	14.97337
120	-7541.381	-7437.889	-103.4919	1.94259	0.286324	0.648767	1.06848	1.99643	15.71719
130	-7547.439	-7453.553	-93.88547	2.075107	0.302078	0.66277	1.07176	1.96339	14.7433
140	-7529.161	-7429.8	-99.36075	2.525913	0.3489	0.701367	1.07892	1.87082	15.24574
150	-7541.343	-7445.192	-96.15061	2.028969	0.296708	0.658059	1.0707	1.97453	14.97442
160	-7537.865	-7447.898	-89.9663	1.988044	0.291843	0.653736	1.06969	1.98473	14.36008
170	-7510.381	-7426.638	-83.74267	2.069697	0.301455	0.662226	1.07164	1.96468	13.72956
180	-7544.765	-7438.935	-105.8293	1.996594	0.292868	0.654651	1.0699	1.98258	15.94552
190	-7536.295	-7441.891	-94.40395	2.138904	0.30931	0.669016	1.07311	1.94857	14.78876
200	-7528.272	-7437.069	-91.2024	2.022383	0.295932	0.657373	1.07054	1.97616	14.48026
210	-7566.19	-7473.066	-93.12362	1.857119	0.275601	0.638906	1.06597	2.01953	14.68891
220	-7532.113	-7444.372	-87.74095	1.890014	0.279782	0.642784	1.06698	2.01046	14.14735
230	-7538.835	-7447.011	-91.8237	2.080974	0.302753	0.663357	1.07189	1.962	14.53653
240	-7518.41	-7433.034	-85.37607	2.076838	0.302278	0.662943	1.0718	1.96298	13.89218
250	-7508.273	-7417.884	-90.38971	1.720986	0.257532	0.621635	1.06114	2.0597	14.42913
260	-7533.115	-7445.437	-87.678	2.135921	0.308977	0.66873	1.07305	1.94925	14.11647
270	-7529.275	-7434.28	-94.99506	1.710757	0.256122	0.620251	1.06073	2.0629	14.89069
280	-7536.125	-7444.922	-91.20259	1.83416	0.272641	0.636134	1.06523	2.026	14.4991
290	-7512.285	-7430.177	-82.10827	1.848035	0.274434	0.637816	1.06568	2.02207	13.58828
300	-7535.825	-7442.357	-93.46831	1.955341	0.287885	0.650179	1.06883	1.99311	14.71355
310	-7529.138	-7444.436	-84.70147	1.873416	0.277681	0.640841	1.06647	2.015	13.84506
320	-7509.716	-7420.371	-89.34508	2.151639	0.310728	0.670227	1.07336	1.94569	14.2816
330	-7536.522	-7449.475	-87.04692	2.224603	0.318688	0.676953	1.07471	1.92965	14.04449
340	-7550.587	-7449.443	-101.1446	2.139562	0.309384	0.669079	1.07312	1.94842	15.46277
350	-7529.425	-7441.657	-87.76805	2.05938	0.300261	0.661183	1.07141	1.96715	14.13313
360	-7541.078	-7448.394	-92.68386	2.303354	0.326983	0.683827	1.07601	1.91318	14.60031
370	-7517.439	-7430.639	-86.80009	1.783243	0.265952	0.629789	1.06348	2.04078	14.06394
380	-7522.492	-7426.357	-96.13558	2.069118	0.301388	0.662168	1.07163	1.96482	14.9689
390	-7530.363	-7444.486	-85.87627	2.156199	0.311233	0.670658	1.07345	1.94466	13.93427
400	-7528.687	-7435.514	-93.17219	1.939691	0.285968	0.648443	1.0684	1.99718	14.68551
410	-7527.7	-7435.921	-91.77944	2.140885	0.309531	0.669205	1.07315	1.94812	14.52611
420	-7525.329	-7439.517	-85.81272	1.519807	0.228366	0.59182	1.05156	2.12825	13.99155
430	-7516.837	-7431.763	-85.07392	1.962249	0.288726	0.650938	1.06902	1.99132	13.87343
440	-7524.967	-7438.755	-86.21225	2.081097	0.302767	0.663369	1.07189	1.96197	13.97537
450	-7536.721	-7437.872	-98.84923	1.901239	0.281193	0.644083	1.06731	2.00741	15.25706
460	-7554.344	-7451.723	-102.6205	2.181526	0.314021	0.673026	1.07393	1.93902	15.60616
470	-7531.169	-7439.21	-91.95942	1.772319	0.264494	0.628391	1.06309	2.04403	14.58097
480	-7535.117	-7440.562	-94.55526	1.929252	0.284681	0.647273	1.06811	1.99993	14.82486
490	-7560.298	-7444.998	-115.2993	1.956382	0.288012	0.650294	1.06886	1.99284	16.89655
500	-7537.174	-7445.805	-91.36893	2.228292	0.319084	0.677284	1.07478	1.92886	14.47632
510	-7540.744	-7445.578	-95.16655	2.098716	0.30478	0.665117	1.07227	1.95783	14.86904
520	-7543.574	-7451.481	-92.09245	1.996492	0.292856	0.65464	1.0699	1.9826	14.57185
