Iteration	Posterior	Likelihood	Prior	alpha[1]	alpha[2]	alpha[3]	alpha[4]	alpha_morpho	clock_morpho	clock_rates	diversification	extinction_rate	num_samp_anc	origin_time	pinvar[1]	pinvar[2]	pinvar[3]	pinvar[4]	psi	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	speciation_rate	turnover
0	-136041.2	-135081.7	-959.4379	1.07989	0.593361	0.118485	0.709683	0.2589331	0.08729945	0.4022962	0.01365521	0.06909049	0	55.85515	0.704508	0.884089	0.658849	0.72888	0.3357645	0.00255449	0.0732128	0.519949	3.40428	0.0827457	0.8349738
50	-58738.15	-58065.19	-672.9691	1.07124	0.592386	0.120333	0.712065	0.5507289	0.03418056	0.02227985	-0.01783234	0.2375471	0	58.25897	0.712616	0.689656	0.748068	0.00101092	0.02296007	0.0431327	0.283749	0.853938	2.81918	0.2197148	1.081161
100	-57737.77	-57076.21	-661.5614	1.04432	0.583022	0.118928	0.732933	1.309067	0.02326348	0.02076105	0.01245275	0.2582374	0	58.21316	0.688251	0.670893	0.725864	0.000145407	0.01711088	0.194265	0.553349	1.03692	2.21547	0.2706901	0.9539963
150	-57556.35	-56922.67	-633.6763	0.957521	0.578968	0.113995	0.762054	2.07435	0.02281729	0.02038729	0.02798432	0.3485674	1	61.18255	0.71477	0.671191	0.72099	0.000436123	0.027545	0.301991	0.662694	1.07174	1.96357	0.3765517	0.9256827
200	-57488.16	-56854.29	-633.8727	0.904273	0.567659	0.108619	0.826521	2.054747	0.02601165	0.02083431	-0.01122155	0.266904	1	60.62419	0.692303	0.674676	0.765411	0.00223246	0.02775929	0.299723	0.660712	1.0713	1.96826	0.2556825	1.043889
250	-57418.11	-56788.45	-629.6542	0.86444	0.506215	0.0957064	0.92818	1.662917	0.02502794	0.02019152	0.007177319	0.4016326	1	55.87418	0.69632	0.675058	0.725541	0.00143969	0.02557485	0.249428	0.613604	1.05871	2.07826	0.4088099	0.9824434
300	-57343.95	-56724.89	-619.0603	0.78791	0.443316	0.0861198	1.06302	1.538722	0.02490376	0.02040825	0.02477541	0.3402893	1	58.97724	0.704834	0.649505	0.741028	0.00150305	0.02570926	0.231243	0.594877	1.05262	2.12126	0.3650647	0.9321342
350	-57310.38	-56698.2	-612.1792	0.697737	0.427352	0.0820648	1.241	1.815657	0.02605863	0.0197865	0.02858838	0.4230839	1	56.45813	0.701045	0.597386	0.73391	0.00990134	0.03349535	0.27023	0.633861	1.06461	2.0313	0.4516723	0.9367055
400	-57215.01	-56604.83	-610.1759	0.610296	0.364171	0.0833042	1.41426	2.075369	0.02637316	0.01941433	-0.01772948	0.4096828	1	62.34368	0.690474	0.611218	0.734626	0.0208693	0.03490692	0.302109	0.662796	1.07177	1.96333	0.3919533	1.045234
450	-57206.9	-56587.4	-619.4997	0.57812	0.221016	0.0865172	1.57282	1.631568	0.02576146	0.01867843	0.01136916	0.4379063	1	57.60885	0.69959	0.500307	0.754211	0.0171697	0.01675275	0.24495	0.609085	1.0573	2.08867	0.4492755	0.9746945
500	-57180.97	-56562.36	-618.6084	0.532002	0.248797	0.0906537	2.11418	1.72567	0.02528546	0.01743301	-0.02249736	0.4469181	1	59.30444	0.680801	0.537748	0.746156	0.0376346	0.02634576	0.258175	0.622265	1.06132	2.05824	0.4244208	1.053007
550	-57199.25	-56576.94	-622.309	0.417236	0.20107	0.0819792	2.21373	1.973036	0.02330574	0.01731973	-0.04073371	0.382002	0	55.22547	0.653535	0.461276	0.746714	0.0426952	0.02125928	0.290035	0.652115	1.0693	1.98855	0.3412683	1.11936
600	-57176.93	-56557.73	-619.2037	0.40844	0.247377	0.0838414	3.10592	1.462299	0.02536647	0.01680943	0.004718589	0.4228655	1	63.94858	0.646612	0.542493	0.746589	0.0506492	0.02358464	0.219439	0.582158	1.04813	2.15027	0.4275841	0.9889645
650	-57184.41	-56565.3	-619.1091	0.37888	0.239512	0.0867201	2.66432	1.748018	0.02484548	0.01668426	0.01065984	0.4006825	1	58.57234	0.663026	0.529279	0.748373	0.0492808	0.02497914	0.261221	0.625231	1.06219	2.05136	0.4113423	0.9740852
700	-57088.58	-56468.16	-620.4211	0.269149	0.202466	0.0819642	3.10425	1.812258	0.02519853	0.01645805	-0.002435924	0.3966126	0	55.72429	0.476432	0.463689	0.753944	0.0544223	0.028458	0.269785	0.633439	1.06449	2.03228	0.3941766	1.00618
750	-57113.51	-56491.28	-622.2289	0.272784	0.135796	0.0871816	2.55772	1.650471	0.0253146	0.01644855	-0.03680854	0.4059244	1	58.29348	0.474082	0.379989	0.724727	0.035665	0.02785004	0.247659	0.611826	1.05816	2.08236	0.3691159	1.099721
800	-57093.64	-56483.29	-610.3552	0.155628	0.126249	0.0831733	2.82546	1.799266	0.02651838	0.01657012	0.02129497	0.2912036	2	62.30601	0.3683	0.357185	0.747374	0.0432755	0.0375879	0.268076	0.631816	1.06405	2.03606	0.3124985	0.9318558
850	-57102.49	-56489.93	-612.559	0.113982	0.129265	0.0866079	3.29705	2.042952	0.02517106	0.01698026	0.003957773	0.364937	2	59.54835	0.322596	0.367015	0.726087	0.0527151	0.02498821	0.298349	0.659505	1.07103	1.97112	0.3688948	0.9892713
900	-57075.2	-56465.04	-610.1595	0.129553	0.117274	0.0860146	2.67249	1.702408	0.02594967	0.01719216	-0.008038818	0.3144787	1	56.26443	0.276983	0.325214	0.736434	0.0428142	0.04294061	0.254966	0.619112	1.06039	2.06553	0.3064399	1.026233
950	-57073.03	-56453.85	-619.1807	0.127775	0.141774	0.0868389	2.5035	1.686779	0.02598185	0.01710237	0.01128492	0.4325254	1	57.23803	0.302574	0.379815	0.772751	0.0421976	0.02750056	0.252788	0.616956	1.05974	2.07052	0.4438103	0.9745726
1000	-57079.36	-56465.63	-613.7302	0.136135	0.13362	0.0808827	2.7592	1.908578	0.02474116	0.01826194	-0.01159127	0.4574497	1	64.06716	0.302169	0.358686	0.756829	0.0666096	0.02516316	0.282112	0.644926	1.06752	2.00544	0.4458584	1.025998
1050	-57079.05	-56465.27	-613.7712	0.128981	0.117526	0.0897376	3.26365	1.730055	0.02617096	0.01708168	0.01176913	0.2955879	1	63.81816	0.321183	0.328656	0.74149	0.0345234	0.03563737	0.258775	0.622851	1.06149	2.05688	0.307357	0.9617086
1100	-57073.7	-56458.66	-615.0417	0.13148	0.127074	0.08805	2.4631	1.805695	0.02585343	0.01662713	-0.0205207	0.3361742	0	61.09969	0.279361	0.369944	0.733616	0.0450886	0.03766376	0.268923	0.632622	1.06427	2.03419	0.3156535	1.06501
1150	-57085.58	-56469.9	-615.681	0.140783	0.121508	0.0881698	2.68464	1.655389	0.02728815	0.01657834	0.01621343	0.3279349	1	64.39444	0.338362	0.317719	0.756738	0.0505716	0.02635146	0.24836	0.612531	1.05838	2.08073	0.3441483	0.9528882
1200	-57095.11	-56478.51	-616.5932	0.125854	0.133829	0.0849245	2.64171	1.825989	0.02385499	0.01579917	-0.001633009	0.2725877	1	59.04032	0.283939	0.331985	0.737093	0.036903	0.03048249	0.271579	0.635135	1.06496	2.02833	0.2709547	1.006027
1250	-57066.85	-56448.7	-618.1429	0.120692	0.129555	0.0858264	2.70207	2.326733	0.02517249	0.01728107	0.01277142	0.3218404	0	58.63327	0.342005	0.331377	0.741606	0.0442514	0.02549209	0.329389	0.685796	1.07637	1.90845	0.3346119	0.9618321
1300	-57074.64	-56451.13	-623.5052	0.129203	0.127762	0.0830426	2.76573	1.733903	0.02289651	0.01629124	0.05863406	0.4828213	0	63.10989	0.283844	0.340856	0.729277	0.0476995	0.02200517	0.259301	0.623364	1.06164	2.05569	0.5414554	0.8917103
1350	-57078.07	-56449.9	-628.1616	0.127019	0.122121	0.0867334	2.51508	2.049968	0.02454782	0.01638219	-0.01144118	0.6028786	0	59.69038	0.271878	0.367995	0.763864	0.0386979	0.01949833	0.299167	0.660224	1.07119	1.96942	0.5914375	1.019345
1400	-57091.71	-56464.6	-627.11	0.127689	0.144112	0.0857203	2.85373	1.680944	0.02383401	0.01637951	0.0176578	0.3270687	0	64.38415	0.334778	0.409374	0.749356	0.050206	0.01855435	0.25197	0.616143	1.05949	2.0724	0.3447265	0.9487774
