Starting job 16490075 on c5-60 on Saga at Wed Dec 24 13:13:30 CET 2025


RevBayes version (1.1.1)
Build from  () on Fri May  5 01:48:14 PM CEST 2023

Visit the website www.RevBayes.com for more information about RevBayes.

RevBayes is free software released under the GPL license, version 3. Type 'license()' for details.

To quit RevBayes type 'quit()' or 'q()'.


> source("scripts/mcmc_CEFBDRP_Ranges_rhinos.Rev")
   Processing file "scripts/mcmc_CEFBDRP_Ranges_rhinos.Rev"
   Successfully read one character matrix from file 'data/rrna.nex'
   Successfully read one character matrix from file 'data/coding_1.nex'
   Successfully read one character matrix from file 'data/coding_2.nex'
   Successfully read one character matrix from file 'data/coding_3.nex'
   Successfully read one character matrix from file 'data/character_matrix_RB_rhinos.nex'
   Processing file "scripts/model_FBDRP_rhinos.Rev"
   Processing of file "scripts/model_FBDRP_rhinos.Rev" completed
   Processing file "scripts/model_UExp_rhinos.Rev"
   Processing of file "scripts/model_UExp_rhinos.Rev" completed
   Processing file "scripts/model_GTRG_rhinos.Rev"
   Processing of file "scripts/model_GTRG_rhinos.Rev" completed
   Processing file "scripts/model_Morph_rhinos.Rev"
   NOTE: setNumStatesPartition() partitions by the maximum observed state, not the total number of observed states.
   NOTE: setNumStatesPartition() partitions by the maximum observed state, not the total number of observed states.
   NOTE: setNumStatesPartition() partitions by the maximum observed state, not the total number of observed states.
   Processing of file "scripts/model_Morph_rhinos.Rev" completed

   Running MCMC simulation
   This simulation runs 1 independent replicate.
   The simulator uses 47 different moves in a random move schedule with 143 moves per iteration

Iter        |      Posterior   |     Likelihood   |          Prior   |    elapsed   |        ETA   |
----------------------------------------------------------------------------------------------------
0           |        -157804   |        -156907   |       -897.347   |   00:00:00   |   --:--:--   |
50          |       -67057.7   |       -66437.2   |       -620.555   |   00:00:35   |   --:--:--   |
100         |       -59763.3   |       -59151.3   |       -612.092   |   00:01:10   |   155:32:10   |
150         |       -59235.5   |       -58623.7   |       -611.824   |   00:01:45   |   155:31:35   |
200         |       -57780.5   |         -57173   |       -607.471   |   00:02:19   |   154:24:21   |
250         |       -57639.2   |       -57029.8   |       -609.401   |   00:02:54   |   154:37:06   |
300         |       -57553.3   |         -56946   |       -607.383   |   00:03:30   |   155:29:50   |
350         |       -57489.5   |       -56885.9   |       -603.597   |   00:04:07   |   156:45:24   |
400         |       -57415.9   |       -56820.2   |       -595.732   |   00:04:44   |   157:41:56   |
450         |       -57335.9   |       -56738.9   |       -596.991   |   00:05:19   |   157:26:32   |
500         |         -57247   |       -56647.4   |       -599.548   |   00:05:57   |   158:34:03   |
550         |       -57197.5   |       -56598.7   |       -598.828   |   00:06:33   |   158:40:43   |
600         |         -57178   |       -56574.5   |       -603.403   |   00:07:10   |   159:08:23   |
650         |         -57144   |       -56548.5   |       -595.575   |   00:07:46   |   159:11:12   |
700         |       -57164.4   |       -56566.6   |       -597.787   |   00:08:23   |   159:32:34   |
750         |       -57160.3   |       -56567.2   |       -593.054   |   00:08:59   |   159:33:14   |
800         |       -57145.7   |       -56544.3   |       -601.405   |   00:09:35   |   159:33:45   |
850         |       -57155.2   |       -56551.9   |        -603.23   |   00:10:12   |   159:49:48   |
