Starting job 16490015 on c5-60 on Saga at Wed Dec 24 11:43:09 CET 2025


RevBayes version (1.1.1)
Build from  () on Fri May  5 01:48:14 PM CEST 2023

Visit the website www.RevBayes.com for more information about RevBayes.

RevBayes is free software released under the GPL license, version 3. Type 'license()' for details.

To quit RevBayes type 'quit()' or 'q()'.


> source("scripts/mcmc_CEFBDRP_Ranges_rhinos.Rev")
   Processing file "scripts/mcmc_CEFBDRP_Ranges_rhinos.Rev"
   Successfully read one character matrix from file 'data/rrna.nex'
   Successfully read one character matrix from file 'data/coding_1.nex'
   Successfully read one character matrix from file 'data/coding_2.nex'
   Successfully read one character matrix from file 'data/coding_3.nex'
   Successfully read one character matrix from file 'data/character_matrix_RB_rhinos.nex'
   Processing file "scripts/model_FBDRP_rhinos.Rev"
   Processing of file "scripts/model_FBDRP_rhinos.Rev" completed
   Processing file "scripts/model_UCLN_rhinos.Rev"
   Processing of file "scripts/model_UCLN_rhinos.Rev" completed
   Processing file "scripts/model_GTRG_rhinos.Rev"
   Processing of file "scripts/model_GTRG_rhinos.Rev" completed
   Processing file "scripts/model_Morph_rhinos.Rev"
   NOTE: setNumStatesPartition() partitions by the maximum observed state, not the total number of observed states.
   NOTE: setNumStatesPartition() partitions by the maximum observed state, not the total number of observed states.
   NOTE: setNumStatesPartition() partitions by the maximum observed state, not the total number of observed states.
   Processing of file "scripts/model_Morph_rhinos.Rev" completed

   Running MCMC simulation
   This simulation runs 1 independent replicate.
   The simulator uses 422 different moves in a random move schedule with 527 moves per iteration

Iter        |      Posterior   |     Likelihood   |          Prior   |    elapsed   |        ETA   |
----------------------------------------------------------------------------------------------------
0           |       -86954.4   |       -86566.2   |       -388.225   |   00:00:00   |   --:--:--   |
50          |       -58096.7   |         -57732   |       -364.731   |   00:01:19   |   --:--:--   |
100         |       -57641.7   |         -57254   |       -387.705   |   00:02:34   |   342:10:46   |
150         |       -57482.5   |       -57102.5   |        -380.01   |   00:03:52   |   343:38:21   |
200         |       -57365.5   |       -57017.5   |       -348.089   |   00:05:08   |   342:08:12   |
250         |       -57285.8   |       -56910.4   |        -375.43   |   00:06:23   |   340:20:17   |
300         |       -57220.1   |       -56857.8   |        -362.34   |   00:07:39   |   339:52:21   |
350         |       -57111.3   |       -56765.8   |       -345.567   |   00:08:52   |   337:37:48   |
400         |       -57090.3   |       -56694.6   |       -395.742   |   00:10:06   |   336:29:54   |
450         |       -56993.5   |       -56655.6   |       -337.866   |   00:11:21   |   336:06:25   |
500         |         -56946   |       -56625.4   |       -320.618   |   00:12:38   |   336:40:42   |
550         |       -56976.5   |       -56613.5   |       -362.948   |   00:13:57   |   337:56:57   |
600         |       -56996.8   |       -56601.6   |       -395.224   |   00:15:18   |   339:44:42   |
650         |         -56885   |       -56570.2   |       -314.781   |   00:16:38   |   340:55:09   |
700         |       -56931.1   |       -56566.1   |       -364.995   |   00:17:57   |   341:36:20   |
750         |       -56905.1   |       -56569.1   |       -336.071   |   00:19:18   |   342:47:22   |
800         |       -56900.7   |       -56558.7   |       -342.058   |   00:20:35   |   342:42:45   |
850         |       -56912.9   |       -56571.8   |       -341.133   |   00:21:53   |   342:54:11   |
