Iteration	Posterior	Likelihood	Prior	age_morphometrics	alpha[1]	alpha[2]	alpha[3]	alpha[4]	alpha_morpho	branch_rates_mean	clock_morpho	clock_rates[1]	clock_rates[2]	clock_rates[3]	clock_rates[4]	clock_rates[5]	clock_rates[6]	clock_rates[7]	clock_rates[8]	clock_rates[9]	clock_rates[10]	clock_rates[11]	clock_rates[12]	clock_rates[13]	clock_rates[14]	clock_rates[15]	clock_rates[16]	clock_rates[17]	clock_rates[18]	clock_rates[19]	clock_rates[20]	clock_rates[21]	clock_rates[22]	clock_rates[23]	clock_rates[24]	clock_rates[25]	clock_rates[26]	clock_rates[27]	clock_rates[28]	clock_rates[29]	clock_rates[30]	clock_rates[31]	clock_rates[32]	clock_rates[33]	clock_rates[34]	clock_rates[35]	clock_rates[36]	clock_rates[37]	clock_rates[38]	clock_rates[39]	clock_rates[40]	clock_rates[41]	clock_rates[42]	clock_rates[43]	clock_rates[44]	clock_rates[45]	clock_rates[46]	clock_rates[47]	clock_rates[48]	clock_rates[49]	clock_rates[50]	clock_rates[51]	clock_rates[52]	clock_rates[53]	clock_rates[54]	clock_rates[55]	clock_rates[56]	clock_rates[57]	clock_rates[58]	clock_rates[59]	clock_rates[60]	clock_rates[61]	clock_rates[62]	clock_rates[63]	clock_rates[64]	clock_rates[65]	clock_rates[66]	clock_rates[67]	clock_rates[68]	clock_rates[69]	clock_rates[70]	clock_rates[71]	clock_rates[72]	clock_rates[73]	clock_rates[74]	clock_rates[75]	clock_rates[76]	clock_rates[77]	clock_rates[78]	clock_rates[79]	clock_rates[80]	clock_rates[81]	clock_rates[82]	clock_rates[83]	clock_rates[84]	clock_rates[85]	clock_rates[86]	clock_rates[87]	clock_rates[88]	clock_rates[89]	clock_rates[90]	clock_rates[91]	clock_rates[92]	clock_rates[93]	clock_rates[94]	clock_rates[95]	clock_rates[96]	clock_rates[97]	clock_rates[98]	clock_rates[99]	clock_rates[100]	clock_rates[101]	clock_rates[102]	clock_rates[103]	clock_rates[104]	clock_rates[105]	clock_rates[106]	clock_rates[107]	clock_rates[108]	clock_rates[109]	clock_rates[110]	clock_rates[111]	clock_rates[112]	clock_rates[113]	clock_rates[114]	clock_rates[115]	clock_rates[116]	clock_rates[117]	clock_rates[118]	clock_rates[119]	clock_rates[120]	clock_rates[121]	clock_rates[122]	clock_rates[123]	clock_rates[124]	diversification	extinction_rate	num_samp_anc	origin_time	pinvar[1]	pinvar[2]	pinvar[3]	pinvar[4]	psi	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	speciation_rate	TH	TL	turnover
0	-90208.84	-89595.06	-613.7716	79.88674	1.25793	1.0466	0.104836	0.832499	0.5955247	0.1267212	0.4928179	0.00522827	0.0112121	0.00858794	0.189493	0.041357	0.251192	0.0263241	0.205566	0.123924	0.0531776	0.0537979	0.130884	0.0905274	0.0642255	0.0594254	0.0726731	0.0627364	0.0294607	0.134743	0.061846	0.244852	0.187341	0.134695	0.439031	0.38093	0.0760118	0.0910407	0.0997508	0.230694	0.032238	0.0373083	0.082263	0.301458	0.0897975	0.032035	0.023229	0.151085	0.0328711	0.238857	0.0779619	0.0713373	0.146193	0.191663	0.225594	0.389704	0.103083	0.0622638	0.246883	0.0706466	0.0214144	0.123834	0.0482519	0.511081	0.174518	0.198071	0.0627438	0.0273058	0.0246814	0.312254	0.454438	0.0240412	0.0523009	0.0130931	0.0475425	0.049636	0.0160496	0.00760359	0.0110412	0.0895645	0.240327	0.0095367	0.0367058	0.0157863	0.153976	0.0854962	0.414185	0.0312418	0.143197	0.0225745	0.0181343	0.105959	0.0826611	0.200112	0.0938942	0.129138	0.00946228	0.0275903	0.0819699	0.643093	0.0799388	0.0728916	0.0225459	0.0876448	0.153461	0.0636035	0.0169593	0.13314	0.0651142	0.00447272	0.238515	0.273279	0.283722	0.166631	0.155768	0.0837385	0.013972	0.00803273	0.0448237	0.160543	0.0650665	0.0185378	0.0513104	0.0163529	0.100332	0.00441338	0.307228	0.102308	0.0872515	0.0168242	0.138127	0.0355746	0.04805	0.106443	0.0143258	0.008960776	0.1062124	0	80.15824	0.888296	0.527046	0.175682	0.0679011	0.05272536	0.0521864	0.309775	0.879018	2.75902	0.1151732	80.15136	1382.17	0.9221974
50	-59021.75	-58605.18	-416.5672	68.47803	1.21836	0.963714	0.100786	0.849651	1.02893	0.03886527	0.0299588	0.00237833	0.00704642	0.0239359	0.0103933	0.0358635	0.048337	0.0615707	0.0148528	0.0165974	0.0141269	0.0647754	0.0466564	0.00983931	0.00472983	0.0226582	0.0291462	0.0107999	0.180297	0.26034	0.0214609	0.0248288	0.04438	0.0827438	0.061904	0.0583026	0.0237244	0.0564338	0.0416815	0.00570316	0.00443406	0.0132561	0.0459392	0.106577	0.0051099	0.00489635	0.0546736	0.0559502	0.00785278	0.0329635	0.0232887	0.00488506	0.0188841	0.0138227	0.0317546	0.0146715	0.18463	0.139551	0.0822241	0.0214883	0.0111825	0.0406941	0.0451348	0.174181	0.00676105	0.0518342	0.0334071	0.1174	0.00136075	0.025893	0.00360249	0.0193628	0.0294366	0.00940373	0.0488335	0.0577409	0.00911428	0.00239122	0.104249	0.0738824	0.0016361	0.0165983	0.0244734	0.000116832	0.000611663	0.0079172	0.0286451	0.0919543	0.0601341	0.000650409	0.0175538	0.0482997	0.114895	0.0110204	0.0446515	0.0378214	0.00168443	0.00317613	0.00980332	0.0280429	0.0162959	0.00253313	0.0115818	0.089507	0.00673765	0.016605	0.000166048	0.0239587	0.0244028	0.0013626	0.0332159	0.0176062	0.0973665	0.000634108	0.0463357	0.0202677	0.00884464	0.000290645	0.00243508	0.0441176	0.093164	9.48647e-05	0.0151587	0.0077867	0.110345	0.000863203	0.0285348	0.0330652	0.0368144	0.0150548	0.0296273	0.00558546	0.0232842	0.0313205	0.00375376	-0.01055833	0.1788684	0	86.5083	0.711092	0.673799	0.720615	0.00358912	0.01998611	0.14269	0.485278	1.00463	2.3674	0.16831	69.1762	1197.462	1.062731
100	-58633.19	-58211.75	-421.4396	64.07121	1.18929	0.949449	0.0976789	0.852357	1.386558	0.03338816	0.01857707	0.00197787	0.00511518	0.054166	0.0282284	0.0193264	0.00805889	0.0627578	0.0196249	0.00368024	0.0154535	0.0316831	0.0701915	0.00153506	0.00534415	0.0135554	0.0638789	0.00496303	0.178837	0.253847	0.0138462	0.0398485	0.0764503	0.0553614	0.0441468	0.0574246	0.0254231	0.120525	0.133056	0.000465289	0.05167	0.0107178	0.0584708	0.116253	0.028757	0.0270481	0.0517521	0.0210438	0.0161717	0.0256885	0.0111324	0.00819468	0.0356827	0.00540513	0.01919	0.0144901	0.112244	0.0804741	0.0167136	0.076547	0.0253909	0.0622018	0.122093	0.0502465	0.0879667	0.00512714	0.050481	0.0109625	0.00257431	0.0102238	0.00511259	0.0101266	0.02424	0.0943227	0.00317565	0.0518175	0.00421342	0.0010219	0.021612	0.0092493	0.00171145	0.0514147	0.0366282	0.000137011	0.00707887	0.00225421	0.105763	0.046231	0.0307551	0.00703478	0.0229486	0.119021	0.0613339	0.00657604	0.0117709	0.0553823	0.000328441	0.0192298	0.0111675	0.0482272	0.0293064	0.00529894	0.00873918	0.0746171	0.00266441	0.0189066	7.69596e-05	0.0581208	0.00575251	0.00556484	0.0352974	0.0186236	0.165221	0.0171695	0.035718	0.0422729	0.0239577	9.24691e-05	0.0232655	0.0289551	0.00749028	0.0002277	0.00872453	0.00600165	0.0146932	0.00125383	0.00859003	0.00252752	0.0159844	0.0275091	0.0389278	0.0939281	0.00788267	0.00927379	0.0179322	-0.0104277	0.1890092	0	84.18766	0.722148	0.692259	0.725119	0.00166903	0.0195034	0.207254	0.568516	1.043	2.18123	0.1785815	65.13196	1253.097	1.058392
150	-57995.7	-57560.74	-434.9626	63.92371	1.14726	0.919881	0.0921936	0.892154	1.597308	0.03614689	0.01631057	0.00301407	0.133709	0.00791116	0.0193518	0.086137	0.0472811	0.0198743	0.0530839	0.0173448	0.0149109	0.0362195	0.0239622	0.0420532	0.0399799	0.0123073	0.0159217	0.170627	0.172907	0.271944	0.0351428	0.00215707	0.0365972	0.00141012	0.0337768	0.0291654	0.0289005	0.0125973	0.0243197	0.00181834	0.0903732	0.0100403	0.0182269	0.0120868	0.0111024	0.00678818	0.0362238	0.0325006	0.024176	0.00614935	0.00447745	0.0897045	0.0231053	0.115265	0.00778979	0.0119409	0.0354674	0.0825857	0.00212271	0.034307	0.0537772	0.04856	0.0243406	0.0357917	0.0118838	0.0208312	0.0597532	0.0165961	0.0131289	0.0714504	0.165173	0.0296209	0.054775	0.042614	0.0514454	0.0118727	0.00241225	0.00557486	0.00113521	0.0155922	0.0100035	0.0450596	0.0535535	5.42978e-05	0.00517496	0.0316015	0.0490789	0.00310077	0.0107995	0.0354213	0.0983095	0.0155037	0.273081	0.00141381	0.0161573	0.0526064	0.0104001	0.148957	0.0166877	0.0771519	0.0933995	0.0374543	0.00025697	0.0728558	0.0272012	0.00928656	0.000935794	0.0441275	0.0156995	0.000157506	0.0101896	0.00142131	0.0470009	0.0819873	0.0298674	0.0179609	0.0158502	0.00189609	0.0312546	0.0230858	0.0544685	0.000200284	0.082706	0.0236781	0.0283339	0.0153181	0.00342357	0.015417	0.0816371	0.00464469	0.0451249	0.0988252	0.0107738	0.0587149	0.00221345	0.002978708	0.1888665	0	73.00037	0.713311	0.687003	0.712956	0.00238813	0.02164543	0.239971	0.603991	1.05566	2.10038	0.1918452	66.2286	1250.148	0.9844734
200	-57607.08	-57174.16	-432.9213	63.41898	1.07528	0.862549	0.091312	0.929979	2.289183	0.04332313	0.01579762	0.00843947	0.00484506	0.033479	0.0268654	0.0241784	0.0594097	0.0222048	0.129011	0.0137687	0.0464988	0.00379532	0.0497408	0.0990324	0.117432	0.00751413	0.0256154	0.0917285	0.184899	0.231849	0.0714342	0.004033	0.0874531	0.0833604	0.0286496	0.072014	0.026419	0.045581	0.0490421	0.000939554	0.0261698	0.006459	0.00334042	0.0278034	0.0576946	0.0111673	0.00822336	0.00281314	0.0708303	0.171207	0.0338605	0.0242202	0.0650035	0.0174544	0.146411	0.00499959	0.027056	0.0691272	0.00181533	0.0337468	0.0194727	0.0444569	0.163403	0.00471651	0.0344263	0.209267	0.00507502	0.00484132	0.0290018	0.0447658	0.0284451	0.0119275	0.0786055	0.0587388	0.0836046	0.0378464	0.038417	0.00466453	0.0186623	0.0123921	0.0266656	0.0385727	0.0195526	0.000367054	0.14049	0.037014	0.0549106	0.012662	0.142901	0.0234706	0.0157609	0.0159475	0.0203826	0.0237866	0.0291321	0.0378137	0.0142837	0.0156509	0.0788848	0.0433458	0.0561375	0.0603334	0.0312061	0.112603	0.0443182	0.00899062	0.00873243	0.076929	0.00326148	0.0158735	0.0870766	0.00819269	0.0440829	0.00864913	0.0202425	0.0207875	0.0119522	0.0142284	0.000891531	0.00469337	0.0174383	0.00106015	0.00892687	0.0331802	0.0189978	0.0109536	0.0234556	0.0153312	0.10598	0.00517887	0.0796617	0.0911818	0.05701	0.0481671	0.0237658	-0.005216797	0.1919236	0	70.53927	0.698172	0.688237	0.743122	0.000583696	0.01865552	0.325513	0.682618	1.07579	1.91608	0.1867068	64.06085	1136.963	1.027941
250	-57360.52	-56997.7	-362.8146	58.58229	1.06858	0.800581	0.0868212	1.02614	2.133134	0.02762389	0.01617001	0.0177745	0.023251	0.0539145	0.00173427	0.00131275	0.00280864	0.00455314	0.0305191	0.0306786	0.0159856	0.0155294	0.0134959	0.00776743	0.0178783	0.00772641	0.0353464	0.0177724	0.172429	0.258422	0.0188219	0.0276308	0.0361743	0.0554518	0.0238994	0.0497631	0.0226785	0.00112252	0.00631138	0.0141766	0.0126937	0.00339818	0.00113388	0.00565815	0.00756549	0.040997	0.00880025	0.0262803	0.0306923	0.00229555	0.0336745	0.045036	0.0381305	0.0226736	0.00899525	0.00448802	0.0286738	0.0393555	0.0222977	0.0690631	0.0465971	0.0341017	0.0167684	0.0645558	0.0454366	0.0141078	0.028761	0.0424352	0.0310354	0.0559712	0.00264686	0.0297077	0.00211467	0.00117331	0.006504	0.00420235	0.0577121	0.0198305	0.0426645	0.00328977	0.0242044	0.0321606	0.0325629	0.00407217	0.00432101	0.0236592	0.00429598	0.00662025	0.00657013	0.0326584	0.00105031	0.000860696	0.0293054	0.0164978	0.0122504	0.0181325	0.00115148	0.0195098	0.00623475	0.00758051	0.00096739	0.0147487	0.0261764	0.0306654	0.00811714	0.0134842	0.027603	0.0539861	0.00599093	0.0292605	0.0348206	0.0502776	0.0364578	0.00718847	0.018968	0.013625	0.000457389	0.00297977	0.113453	0.031012	0.00367376	0.00525924	0.0195401	0.00990218	0.0768662	0.0547662	0.0818995	0.00971711	0.00810119	0.0424974	0.0357739	0.00799419	0.0489361	0.0202644	0.0256197	-0.007476199	0.2607549	0	67.09779	0.710718	0.674157	0.758658	0.00245243	0.01881038	0.308665	0.668463	1.07299	1.94988	0.2532787	59.8089	1079.48	1.029518
300	-57264.65	-56867.05	-397.5949	55.94627	0.89552	0.710541	0.0842354	1.20788	1.999395	0.04057274	0.01818354	0.0159293	0.029848	0.0218474	0.00629652	0.0117776	0.0444973	0.122318	0.171036	0.0406278	0.0745519	0.00898134	0.0542726	0.0513739	0.1197	0.00232233	0.000148641	0.105921	0.169848	0.258259	0.0291694	0.0311293	0.0681101	0.00348073	0.039007	0.251781	0.0207039	0.0711105	0.119753	0.011933	0.0107477	0.00562259	0.135418	0.0501152	0.000298859	0.00649188	0.00720917	0.00237679	0.011734	0.00546867	0.0472494	0.0406244	0.0320574	0.00859554	0.00434069	0.0346414	0.0231324	0.0316835	0.0571157	0.0103062	0.00523301	0.00207015	0.0401099	0.000133132	0.000636831	0.0220109	0.0706782	0.082286	0.028939	0.0788802	0.115356	0.0058158	0.0128888	0.0625601	0.0356101	0.0266619	0.0476372	0.0030853	0.0203468	0.0150718	0.0189669	0.0145546	0.00259621	0.00532918	0.0237642	0.0378942	0.043783	0.0752484	0.0375927	0.017915	0.0440307	0.0834814	0.0412805	0.00608811	0.0204167	0.0221825	0.00304736	0.019736	0.0296927	0.0646439	0.00290744	0.00612566	0.030788	0.106652	0.0158829	0.00235476	0.00996368	0.00666174	0.00805722	0.065023	0.0241046	0.059994	0.0406555	0.0167089	0.0314244	0.0188302	0.016658	0.00858085	0.00503826	0.0548872	0.00621769	0.00417017	0.0392265	0.0129809	0.0115926	0.00128653	0.0308071	0.0017916	0.0225383	0.00958735	0.0665185	0.00147394	0.0536804	0.0915849	0.00225273	-0.003602903	0.2402419	0	63.19856	0.697919	0.677972	0.7521	0.0058217	0.02250248	0.293202	0.654949	1.06997	1.98187	0.236639	56.01319	1011.321	1.015225
350	-57164.69	-56802.4	-362.2908	55.76337	0.726584	0.640406	0.0856083	1.3816	1.759295	0.03139093	0.01905288	0.0168538	0.0168011	0.00573296	0.0226366	0.0222095	0.0108762	0.0365854	0.0324844	0.0173371	0.0830036	0.0372627	0.0457329	0.0581027	0.0119322	0.00181354	0.0221625	0.049329	0.0998073	0.139253	0.00720243	0.049216	0.00327197	0.0183212	0.0396723	0.0034611	0.0242314	0.00076604	0.0247534	0.000576775	0.0003487	0.00676665	0.00857542	0.0158292	0.0149756	0.023238	0.0402807	0.0390107	0.145578	0.0146016	0.0931331	0.0493684	0.0828449	0.0370446	0.00927445	0.00988507	0.0249668	0.0275663	0.00844305	0.0217174	0.0128486	0.00383115	0.069322	0.0738375	0.0485708	0.0281846	0.114585	0.058659	0.0300002	0.0344314	0.00843307	0.00264968	0.0442227	0.041589	0.0111734	0.072076	0.0316694	0.0385192	0.0686424	0.00531782	0.0182742	0.0125429	0.0418908	0.00405964	0.0323301	0.00445858	0.0151866	0.0325019	0.0336135	0.00123077	0.00496808	0.0348604	0.0123863	0.00674943	0.00515262	0.0349353	0.000164702	0.0125617	0.0314185	0.0338206	0.113314	0.0695611	0.0103728	0.00832221	0.00608803	0.0180081	0.0603888	0.0694356	0.0169279	0.0416534	0.0167564	0.00616519	0.0229124	0.0251448	0.0924112	0.0218173	0.0159932	0.0046706	0.000366266	0.0380437	0.0119682	0.0106409	0.0251741	0.0328047	0.0157123	0.0234385	0.0330879	0.0557877	0.0694843	0.0142769	0.0360663	0.028536	0.0103328	0.0283308	0.0153481	0.01474095	0.3181936	0	94.78595	0.696307	0.679317	0.764631	0.016978	0.0161462	0.262745	0.626706	1.06261	2.04794	0.3329345	56.70776	947.7917	0.9557242
400	-56940.51	-56633.34	-307.1781	53.97465	0.643858	0.621164	0.0853814	1.4904	1.799774	0.01982585	0.01657702	0.0126595	0.00288839	0.00327852	0.00054114	0.0034314	0.0268318	0.0134482	0.000765892	0.0372863	0.0116195	0.00434784	0.00916403	0.00746431	0.0109274	0.00199629	0.0391411	0.0567927	0.0861689	0.11291	0.00148891	0.0244696	0.00553734	0.0184201	0.000509519	0.00894258	0.0230142	0.00913415	0.0832147	0.00506778	0.0157128	0.0057948	0.0345064	0.00634581	0.00257366	0.000440555	0.00846426	0.00609804	0.0112929	0.0190351	0.0149723	0.00120773	0.0282781	0.00275599	0.00676671	0.0183445	0.0276368	0.0350048	0.00524745	0.0153668	0.00174334	0.0194552	0.0198341	0.00673716	0.00327665	0.018201	0.0105044	0.0163926	0.0147821	0.027229	0.000648148	0.010381	0.0342033	0.0052501	0.00987189	0.00872955	0.0086939	0.015618	0.0534804	0.0734286	0.0125039	0.00680385	0.0466707	0.0038211	0.000278575	0.0160797	0.0704868	0.0247536	0.000293826	0.00479804	0.0239443	0.0399321	0.0018202	0.0121806	0.00631953	0.00324687	0.00951209	0.0367349	0.0022195	0.00312752	0.0257378	0.0117934	0.0221178	0.0361135	0.0326304	0.0214457	0.0279301	0.040639	0.00986472	0.0646702	0.0286045	0.0308782	0.00798242	0.0317627	0.0499248	0.00168206	0.00998858	0.00679252	0.01029	0.0266779	0.00956756	0.00136869	0.0352358	0.097578	0.00867222	0.0282837	0.00560129	0.00746418	0.0275788	0.013308	0.0313918	0.0369041	0.0136642	0.0191765	0.013452	0.007262067	0.2008542	0	66.92494	0.687934	0.667797	0.769789	0.000644999	0.02118103	0.268143	0.63188	1.06406	2.03591	0.2081163	54.31623	944.6632	0.9651057
450	-56898.57	-56591.74	-306.8341	54.15015	0.515753	0.502625	0.0845842	1.68849	1.848419	0.02066729	0.01609377	0.0119798	0.000246537	0.00498301	0.00172672	0.00574369	0.0117888	0.0123128	0.0126435	0.00485801	0.0197329	0.024257	0.0069927	0.000996589	5.72889e-05	0.00162553	0.00876062	0.0114248	0.0829504	0.131231	0.0220226	0.0047945	0.0291395	0.0136757	0.0193627	0.0237006	0.0226119	0.037418	0.0112798	0.00813409	0.0163641	0.00584777	0.00651438	0.00211116	0.0468858	0.0396015	0.0235829	0.00929889	0.0625817	0.0144531	0.00268903	0.0699346	0.0344229	0.00240255	0.0105317	0.0277074	0.0249908	0.0284067	0.0149913	0.0110126	0.00205067	0.00293909	0.0157134	0.0100224	0.0264876	0.0135469	0.0341512	0.00321273	0.00480031	0.0128963	0.0133667	0.0181789	0.0530258	0.0155639	0.00430585	0.0171351	0.0142452	0.0114036	0.0143871	0.0466881	0.0129533	0.0108218	0.0302305	0.00425192	0.0111685	0.00565845	0.0209622	0.0519931	0.022173	0.015093	0.0125788	0.0108958	0.0137164	0.0267503	0.01504	0.00988736	0.0387581	0.0055541	0.00237709	0.0203488	0.0217097	0.0275939	0.011212	0.0497175	0.000547425	0.0231358	0.0293643	0.0443857	0.0168035	0.0418518	0.0277498	0.000514316	0.0157708	0.0518306	0.0203493	0.00324717	0.0155832	0.000453139	0.0100992	0.00186586	0.0238153	0.00620303	0.0641579	0.0146057	0.0367511	0.0122536	0.000523989	0.0126811	0.00460263	0.0133834	0.0457724	0.00829487	0.0277811	0.041592	0.0382617	0.001861684	0.3058857	0	68.68375	0.683429	0.637785	0.737087	0.0224275	0.02306373	0.274483	0.637862	1.06569	2.02197	0.3077474	55.98415	936.8567	0.9939506
